               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11195,            0.031542,            0.054699,                   0,                   0,                   0,                   0,            0.083283,            0.030777,            0.036167,              0.0973,              0.0003,              0.0003
                   1,             0.11562,            0.030825,            0.052816,                   0,                   0,                   0,                   0,            0.079673,            0.030193,            0.036169,            0.093469,            0.000469,            0.000469
                   2,             0.10535,            0.029428,             0.05051,                   0,                   0,                   0,                   0,             0.07628,            0.029595,            0.036113,            0.089374,            0.000374,            0.000374
